[高清]央视,#genre#
CCTV-1综合[高清],http://192.168.0.1:8012/rtp/239.3.1.129:8008
CCTV-2财经[高清],http://192.168.0.1:8012/rtp/239.3.1.60:8084
CCTV-3综艺[高清],http://192.168.0.1:8012/rtp/239.3.1.172:8001
CCTV-4中文国际[高清],http://192.168.0.1:8012/rtp/239.3.1.105:8092
CCTV-4 中文国际 欧洲[高清],http://192.168.0.1:8012/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲[高清],http://192.168.0.1:8012/rtp/239.3.1.214:4220
CCTV-5体育[高清],http://192.168.0.1:8012/rtp/239.3.1.173:8001
CCTV5+[高清],http://192.168.0.1:8012/rtp/239.3.1.130:8004
CCTV-6电影[高清],http://192.168.0.1:8012/rtp/239.3.1.174:8001
CCTV-7国防军事[高清],http://192.168.0.1:8012/rtp/239.3.1.61:8104
CCTV-8电视剧[高清],http://192.168.0.1:8012/rtp/239.3.1.175:8001
CCTV-9纪录[高清],http://192.168.0.1:8012/rtp/239.3.1.62:8112
CCTV-10科教[高清],http://192.168.0.1:8012/rtp/239.3.1.63:8116
CCTV-11戏曲[高清],http://192.168.0.1:8012/rtp/239.3.1.152:8120
CCTV-12社会与法[高清],http://192.168.0.1:8012/rtp/239.3.1.64:8124
CCTV-13新闻[高清],http://192.168.0.1:8012/rtp/239.3.1.124:8128
CCTV-15音乐[高清],http://192.168.0.1:8012/rtp/239.3.1.153:8136
CCTV-16奥林匹克频道[高清],http://192.168.0.1:8012/rtp/239.3.1.184:8001
CCTV-17农业农村[高清],http://192.168.0.1:8012/rtp/239.3.1.151:8144
[高清]央视;少儿,#genre#
CCTV-14少儿[高清],http://192.168.0.1:8012/rtp/239.3.1.65:8132
4K,#genre#
CCTV-16奥林匹克频道[4K],http://192.168.0.1:8012/rtp/239.3.1.183:8001
[高清]卫视,#genre#
湖南卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.132:8012
浙江卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.137:8036
江苏卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.135:8028
东方卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.136:8032
山东卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.209:8052
安徽卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.211:8064
湖北卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.138:8044
东南卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.156:8148
广东卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.142:8048
辽宁卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.210:8056
黑龙江卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.133:8016
深圳卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.134:8020
贵州卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.149:8076
天津卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.141:1234
河北卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.148:8072
重庆卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.122:8160
江西卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.123:8164
吉林卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.240:8172
[高清]北京;[高清]卫视,#genre#
BRTV北京卫视[高清],http://192.168.0.1:8012/rtp/239.3.1.241:8000
[高清]北京,#genre#
BRTV新闻[高清],http://192.168.0.1:8012/rtp/239.3.1.159:8000
BRTV文艺[高清],http://192.168.0.1:8012/rtp/239.3.1.242:8000
BRTV影视[高清],http://192.168.0.1:8012/rtp/239.3.1.158:8000
BRTV冬奥纪实[高清],http://192.168.0.1:8012/rtp/239.3.1.243:8000
朝阳电视台[高清],http://192.168.0.1:8012/rtp/239.3.1.163:8001
密云电视台[高清],http://192.168.0.1:8012/rtp/239.3.1.154:8001
房山电视台[高清],http://192.168.0.1:8012/rtp/239.3.1.96:8001
通州融媒[高清],http://192.168.0.1:8012/rtp/239.3.1.221:8001
中国教育1台[高清],http://192.168.0.1:8012/rtp/239.3.1.57:8152
[高清]北京;少儿,#genre#
BRTV卡酷动画[高清],http://192.168.0.1:8012/rtp/239.3.1.189:8000
[高清]北京IPTV;4K,#genre#
爱上4K[4K],http://192.168.0.1:8012/rtp/239.3.1.236:2000
北京IPTV 4K超清[4K],http://192.168.0.1:8012/rtp/239.3.1.249:8001
[高清]北京IPTV,#genre#
北京IPTV淘精彩[高清],http://192.168.0.1:8012/rtp/239.3.1.178:8001
北京IPTV淘娱乐[高清],http://192.168.0.1:8012/rtp/239.3.1.100:8001
北京IPTV淘剧场[高清],http://192.168.0.1:8012/rtp/239.3.1.95:8001
北京IPTV淘电影[高清],http://192.168.0.1:8012/rtp/239.3.1.250:8001
北京IPTV 萌宠TV[高清],http://192.168.0.1:8012/rtp/239.3.1.102:8001
大健康[高清],http://192.168.0.1:8012/rtp/239.3.1.251:8001
体育赛事[高清],http://192.168.0.1:8012/rtp/239.3.1.157:8176
电影台[高清],http://192.168.0.1:8012/rtp/239.3.1.97:8001
熊猫频道[高清],http://192.168.0.1:8012/rtp/239.3.1.66:8068
每日影院[高清],http://192.168.0.1:8012/rtp/239.3.1.111:8001
幸福剧场[高清],http://192.168.0.1:8012/rtp/239.3.1.112:8001
幸福娱乐[高清],http://192.168.0.1:8012/rtp/239.3.1.113:8001
风尚生活[高清],http://192.168.0.1:8012/rtp/239.3.1.114:8001
聚鲨环球精选[高清],http://192.168.0.1:8012/rtp/239.3.1.179:8001
聚鲨国际[高清],http://192.168.0.1:8012/rtp/239.3.1.183:8001
央广购物[高清]1,http://192.168.0.1:8012/rtp/239.3.1.222:8001
央广购物[高清]2,http://192.168.0.1:8012/rtp/239.3.1.223:8001
优购物[高清],http://192.168.0.1:8012/rtp/239.3.1.180:8001
时尚购物[高清],http://192.168.0.1:8012/rtp/239.3.1.181:8001
东方购物[高清],http://192.168.0.1:8012/rtp/239.3.1.182:8001
家有购物[高清],http://192.168.0.1:8012/rtp/239.3.1.185:8001
金鹰纪实[高清],http://192.168.0.1:8012/rtp/239.3.1.58:8156
茶频道[高清],http://192.168.0.1:8012/rtp/239.3.1.165:8001
CGTN 新闻[高清],http://192.168.0.1:8012/rtp/239.3.1.215:4220
CGTN 记录[高清],http://192.168.0.1:8012/rtp/239.3.1.216:4220
CGTN 西班牙语[高清],http://192.168.0.1:8012/rtp/239.3.1.217:4220
CGTN 法语[高清],http://192.168.0.1:8012/rtp/239.3.1.218:4220
CGTN 阿拉伯语[高清],http://192.168.0.1:8012/rtp/239.3.1.219:4220
CGTN 俄语[高清],http://192.168.0.1:8012/rtp/239.3.1.220:4220
纪实人文[高清],http://192.168.0.1:8012/rtp/239.3.1.212:8060
[高清]北京IPTV;少儿,#genre#
北京IPTV淘Baby[高清],http://192.168.0.1:8012/rtp/239.3.1.238:8001
央视,#genre#
CCTV-1综合,http://192.168.0.1:8012/rtp/239.3.1.1:8000
CCTV-2财经,http://192.168.0.1:8012/rtp/239.3.1.2:8004
CCTV-3综艺,http://192.168.0.1:8012/rtp/239.3.1.107:8001
CCTV-4中文国际,http://192.168.0.1:8012/rtp/239.3.1.4:8216
CCTV-5体育,http://192.168.0.1:8012/rtp/239.3.1.108:8001
CCTV-6电影,http://192.168.0.1:8012/rtp/239.3.1.109:8001
CCTV-7国防军事,http://192.168.0.1:8012/rtp/239.3.1.7:8024
CCTV-8电视剧,http://192.168.0.1:8012/rtp/239.3.1.110:8001
CCTV-9纪录,http://192.168.0.1:8012/rtp/239.3.1.9:8032
CCTV-10科教,http://192.168.0.1:8012/rtp/239.3.1.10:8228
CCTV-11戏曲,http://192.168.0.1:8012/rtp/239.3.1.11:8040
CCTV-12社会与法,http://192.168.0.1:8012/rtp/239.3.1.12:8232
CCTV-13新闻,http://192.168.0.1:8012/rtp/239.3.1.13:8048
CCTV-14少儿,http://192.168.0.1:8012/rtp/239.3.1.14:8236
CCTV-15音乐,http://192.168.0.1:8012/rtp/239.3.1.15:8052
CCTV-17农业农村,http://192.168.0.1:8012/rtp/239.3.1.150:8064
卫视;北京,#genre#
BRTV北京卫视,http://192.168.0.1:8012/rtp/239.3.1.225:8000
北京,#genre#
BRTV文艺,http://192.168.0.1:8012/rtp/239.3.1.226:8000
BRTV科教,http://192.168.0.1:8012/rtp/239.3.1.227:8000
BRTV影视,http://192.168.0.1:8012/rtp/239.3.1.228:8000
BRTV财经,http://192.168.0.1:8012/rtp/239.3.1.229:8000
BRTV冬奥纪实,http://192.168.0.1:8012/rtp/239.3.1.230:8000
BRTV生活,http://192.168.0.1:8012/rtp/239.3.1.231:8000
BRTV青年,http://192.168.0.1:8012/rtp/239.3.1.232:8000
BRTV新闻,http://192.168.0.1:8012/rtp/239.3.1.233:8000
BRTV国际频道,http://192.168.0.1:8012/rtp/239.3.1.235:8000
北京;少儿,#genre#
BRTV卡酷少儿,http://192.168.0.1:8012/rtp/239.3.1.234:8000
卫视,#genre#
东方卫视,http://192.168.0.1:8012/rtp/239.3.1.34:8192
东南卫视,http://192.168.0.1:8012/rtp/239.3.1.36:8112
南方卫视,http://192.168.0.1:8012/rtp/239.3.1.161:8001
广西卫视,http://192.168.0.1:8012/rtp/239.3.1.39:8300
海南卫视,http://192.168.0.1:8012/rtp/239.3.1.45:8304
深圳卫视,http://192.168.0.1:8012/rtp/239.3.1.32:9244
厦门卫视,http://192.168.0.1:8012/rtp/239.3.1.143:4120
广东卫视,http://192.168.0.1:8012/rtp/239.3.1.38:8132
江西卫视,http://192.168.0.1:8012/rtp/239.3.1.30:8280
云南卫视,http://192.168.0.1:8012/rtp/239.3.1.26:8108
西藏卫视,http://192.168.0.1:8012/rtp/239.3.1.47:8164
贵州卫视,http://192.168.0.1:8012/rtp/239.3.1.31:8120
重庆卫视,http://192.168.0.1:8012/rtp/239.3.1.35:8296
湖北卫视,http://192.168.0.1:8012/rtp/239.3.1.33:8136
湖南卫视,http://192.168.0.1:8012/rtp/239.3.1.18:8268
安徽卫视,http://192.168.0.1:8012/rtp/239.3.1.21:8272
山东卫视,http://192.168.0.1:8012/rtp/239.3.1.25:8148
江苏卫视,http://192.168.0.1:8012/rtp/239.3.1.20:8276
浙江卫视,http://192.168.0.1:8012/rtp/239.3.1.19:8284
四川卫视,http://192.168.0.1:8012/rtp/239.3.1.29:8288
河南卫视,http://192.168.0.1:8012/rtp/239.3.1.27:8128
陕西卫视,http://192.168.0.1:8012/rtp/239.3.1.41:8140
新疆卫视,http://192.168.0.1:8012/rtp/239.3.1.48:8160
宁夏卫视,http://192.168.0.1:8012/rtp/239.3.1.46:8124
青海卫视,http://192.168.0.1:8012/rtp/239.3.1.44:8184
甘肃卫视,http://192.168.0.1:8012/rtp/239.3.1.49:8188
山西卫视,http://192.168.0.1:8012/rtp/239.3.1.42:8172
河北卫视,http://192.168.0.1:8012/rtp/239.3.1.37:8292
天津卫视,http://192.168.0.1:8012/rtp/239.3.1.23:8144
内蒙古卫视,http://192.168.0.1:8012/rtp/239.3.1.43:8176
辽宁卫视,http://192.168.0.1:8012/rtp/239.3.1.24:8116
黑龙江卫视,http://192.168.0.1:8012/rtp/239.3.1.28:8196
吉林卫视,http://192.168.0.1:8012/rtp/239.3.1.40:8200
三沙卫视,http://192.168.0.1:8012/rtp/239.3.1.155:4120
兵团卫视,http://192.168.0.1:8012/rtp/239.3.1.144:4120
北京IPTV,#genre#
